date,currency_code,rate
2021-09-01,AUD,1.3614284505373615
2021-09-01,CAD,1.2591182195142592
2021-09-01,CLP,785.0
2021-09-01,EUR,0.8462384700008463
2021-09-01,GBP,0.7266057374968267
2021-09-01,INR,73.07099940763307
2021-09-01,MXN,20.01218583396801
2021-09-01,SGD,1.3468731488533467
2021-09-01,USD,1.0
2021-10-01,AUD,1.3780172413793104
2021-10-01,CAD,1.2670689655172414
2021-10-01,CLP,810.0
2021-10-01,EUR,0.8620689655172414
2021-10-01,GBP,0.7383879310344829
2021-10-01,INR,74.11637931034483
2021-10-01,MXN,20.51336206896552
2021-10-01,SGD,1.356293103448276
2021-10-01,USD,1.0
2021-11-01,AUD,1.3301088270858525
2021-11-01,CAD,1.2372603212990154
2021-11-01,CLP,830.0
2021-11-01,EUR,0.8637070305752289
2021-11-01,GBP,0.7304802211089999
2021-11-01,INR,74.90715149421317
2021-11-01,MXN,20.677319053377097
2021-11-01,SGD,1.3494558645707377
2021-11-01,USD,1.0
2021-12-01,AUD,1.40083082906134
2021-12-01,CAD,1.2756761534382182
2021-12-01,CLP,858.0
2021-12-01,EUR,0.8838607035531201
2021-12-01,GBP,0.751281598020152
2021-12-01,INR,74.9058688350716
2021-12-01,MXN,21.289464380413648
2021-12-01,SGD,1.3638854516528194
2021-12-01,USD,1.0
2022-01-01,AUD,1.3786862087232916
2022-01-01,CAD,1.2707928659720995
2022-01-01,CLP,819.78
2022-01-01,EUR,0.8829242450997704
2022-01-01,GBP,0.7419035846724351
2022-01-01,INR,74.36800282535759
2022-01-01,MXN,20.434222143740065
2022-01-01,SGD,1.3490199540879393
2022-01-01,USD,1.0
2022-02-01,AUD,1.4092362344582594
2022-02-01,CAD,1.2698934280639433
2022-02-01,CLP,807.95
2022-02-01,EUR,0.8880994671403198
2022-02-01,GBP,0.7415452930728242
2022-02-01,INR,74.77531083481351
2022-02-01,MXN,20.541385435168742
2022-02-01,SGD,1.349822380106572
2022-02-01,USD,1.0
2022-03-01,AUD,1.3765454219673892
2022-03-01,CAD,1.2684106790897687
2022-03-01,CLP,798.22
2022-03-01,EUR,0.8958967926894821
2022-03-01,GBP,0.7461924386310697
2022-03-01,INR,75.70462282745027
2022-03-01,MXN,20.476437914352264
2022-03-01,SGD,1.3572836409245652
2022-03-01,USD,1.0
2022-04-01,AUD,1.3297140788997468
2022-04-01,CAD,1.2490951863916033
2022-04-01,CLP,818.35
2022-04-01,EUR,0.9048136083966704
2022-04-01,GBP,0.7613554107853783
2022-04-01,INR,75.99049945711184
2022-04-01,MXN,19.82328990228013
2022-04-01,SGD,1.3558631921824105
2022-04-01,USD,1.0
2022-05-01,AUD,1.3945920303605313
2022-05-01,CAD,1.2738140417457304
2022-05-01,CLP,847.79
2022-05-01,EUR,0.9487666034155597
2022-05-01,GBP,0.7960910815939279
2022-05-01,INR,76.50664136622392
2022-05-01,MXN,20.3207779886148
2022-05-01,SGD,1.3799810246679316
2022-05-01,USD,1.0
2022-06-01,AUD,1.3873226288274834
2022-06-01,CAD,1.2636295743091859
2022-06-01,CLP,867.12
2022-06-01,EUR,0.9335324869305452
2022-06-01,GBP,0.7949775952203137
2022-06-01,INR,77.53080657206871
2022-06-01,MXN,19.66747572815534
2022-06-01,SGD,1.3722927557879014
2022-06-01,USD,1.0
2022-07-01,AUD,1.4754916067146284
2022-07-01,CAD,1.2941966426858513
2022-07-01,CLP,930.0
